,data,venda_g,venda_e
114,2014/08,2.8835635935907202,1.9005326053467861
115,2014/09,2.8842856671073878,1.8979590123600127
116,2014/10,2.8715101841168056,1.8747785553908203
117,2014/11,2.9119651787573613,1.898026700913822
118,2014/12,2.933399067223025,1.923882287007741
119,2015/01,2.9511341524176142,1.9568729728936338
120,2015/02,3.167340404930955,2.1012695930744294
121,2015/03,3.1947059397724042,2.1081574345927323
122,2015/04,3.190572075963145,2.075364627940623
123,2015/05,3.162490455994002,2.02603171612036
124,2015/06,3.1479900806636003,1.9862981426467936
125,2015/07,3.135944056442294,1.9577986434569776
126,2015/08,3.128144953754726,1.9311986078965822
127,2015/09,3.1389776849241935,1.9553395195033882
128,2015/10,3.3454856803920436,2.279829824440875
129,2015/11,3.4720480265424127,2.497419959701406
