data,values_g,diff_g,values_e,diff_e,prod_pe,prod_et,venda_g,venda_e,cos_year,sin_year
2007-12-01,657315.7712,71054.44129999995,582239.4215,42816.600600000005,1.6597875940574676,1.0,1.9929003555543081,1.3049758299235874,0.9990529244565752,-0.04351154024812912
2008-01-01,557232.6366,-100083.1346,530547.3015,-51692.12000000011,1.61069525526359,1.0,1.727177900069945,1.2972929736265266,0.9991833711847241,-0.04040533068704974
2008-02-01,554229.8073,-3002.829299999983,532679.1663,2131.8648000000976,1.4350734782928276,1.0,1.7054587255212026,1.2520041782574938,0.9991833711847241,-0.04040533068704974
2008-03-01,586665.3925,32435.58519999997,558019.7334,25340.567099999986,1.557515247268135,1.0,1.748227059509875,1.281235163769029,0.9991833711847241,-0.04040533068704974
2008-04-01,593212.5875,6547.195000000065,589464.3811,31444.64769999997,1.3232536252304845,1.0,1.844956877301241,1.2858132406338938,0.9991833711847241,-0.04040533068704974
2008-05-01,579073.8489,-14138.73860000004,580873.1511,-8591.229999999981,1.584665157258336,1.0,1.6357066590737348,1.2780080834599434,0.9991833711847241,-0.04040533068704974
2008-06-01,560305.0166,-18768.83230000001,570126.4479,-10746.703199999987,1.529128867192047,1.0,1.897418029079321,1.2558094903770078,0.9991833711847241,-0.04040533068704974
2008-07-01,594201.4651,33896.44850000006,599724.4589,29598.01099999994,1.4993704541731268,1.0,1.8078142780207809,1.2560107488844527,0.9991833711847241,-0.04040533068704974
2008-08-01,577749.5833,-16451.881799999974,627610.103,27885.644100000038,1.4680812135184833,1.0,1.8628507266359888,1.2628732547751025,0.9991833711847241,-0.04040533068704974
2008-09-01,596100.9064,18351.32309999992,663032.6088,35422.50580000004,1.2344633764054076,1.0,1.9141386734013592,1.2791416700666929,0.9991833711847241,-0.04040533068704974
2008-10-01,607001.7624,10900.856000000029,658866.8962,-4165.712600000086,0.01,1.0,1.9465581766909794,1.317159772568446,0.9991833711847241,-0.04040533068704974
2008-11-01,562643.6356,-44358.12679999997,625070.9007,-33795.99549999996,0.9184748590283067,1.0,1.9622940134703135,1.322143197354008,0.9991833711847241,-0.04040533068704974
2008-12-01,651891.7202,89248.08459999994,715237.7431,90166.84239999996,1.2805937428432945,1.0,1.9777363048894598,1.32641059011991,0.9991833711847241,-0.04040533068704974
2009-01-01,536406.3389,-115485.3813,633103.609,-82134.13409999991,0.9981077492753212,1.0,1.82662118690427,1.3179484944133677,0.9993041602518569,-0.0372987305860572
2009-02-01,512378.6143,-24027.72459999996,617720.782,-15382.827000000048,0.5643061860013467,1.0,1.930512319980631,1.3502653499046449,0.9993041602518569,-0.0372987305860572
2009-03-01,567093.7176,54715.10329999996,700519.539,82798.75699999998,0.7106661192422155,1.0,1.6597875940574676,1.324997630648512,0.9993041602518569,-0.0372987305860572
2009-04-01,565388.051,-1705.6665999999968,737570.05,37050.51100000006,0.8247695458775939,1.0,1.768654571773885,1.2630847790964357,0.9993041602518569,-0.0372987305860572
